Term	Frequency
willthe		1
nominate		1
pardoned		1
controversyhistorically		1
418		1
681		1
evidentiary		1
jeppesen		1
dataplan		1
embarrassing		1
actionsthe		1
ineligibility		1
czars		1
unaccountable		1
spearheading		1
congressaccording		1
adjournment		1
adjournas		1
fanfarethe		1
organizationother		1
pardoning		1
lifepresidential		1
presidentduring		1
propagandized		1
mesmerizing		1
photo-ops		1
vanquish		1
credit-card		1
feesmost		1
monarchist		1
undivided		1
criticizes		1
uncheckable		1
memorandums		1
rulearticle		1
presidencya		1
disqualified		1
rubber-stamped		1
lawyernominees		1
drivesthe		1
presidentacting		1
senateand		1
presidentpursuant		1
oathi		1
affirm		1
statesalthough		1
palmed		1
swearing		1
termafter		1
electionsince		1
electedsuccession		1
officearticle		1
convict		1
acquitted		1
voteunder		1
sedated		1
dayunder		1
claimthe		1
effectsection		1
skippedthroughout		1
1788–1789		1
mid–1790s		1
pro-administration		1
democratic-republican		1
partygreatly		1
aresince		1
nontaxable		1
$19,000		1
dinners		1
amazes		1
thurmont		1
mountain-based		1
6,500m2		1
neededfor		1
limousine		1
cadillac-based		1
vc-25		1
747-200b		1
in-country		1
codenames		1
housecamp		1
davidblair		1
housestate		1
carair		1
onemarine		1
oneunder		1
$199,700		1
franking		1
remarries		1
protectionsome		1
tafts		1
metpresidents		1
campaigner		1
euna		1
campaignsince		1
abilene		1
yorba		1
simi		1
w.		1
statespoliciesappointmentsfirst		1
termsecond		1
termpost-presidencygeorge		1
opponentbush		1
partial-birth		1
torturein		1
crisisbush		1
2010sgeorge		1
grace-new		1
yale–new		1
rootsbush		1
houstonbush		1
nonnumeric		1
mbaat		1
schoolteacher		1
wifes		1
fraternal		1
jennaprior		1
timebush		1
fowles		1
willa		1
cather		1
oilman		1
paintingin		1
f-102s		1
147th		1
187th		1
winton		1
arbusto		1
hkns		1
tradingin		1
$89m		1
$500k		1
mahon		1
hance		1
hances		1
53.2		1
percentbush		1
sununu		1
resignbush		1
tort		1
allbaugh		1
roveafter		1
avowed		1
homosexual		1
53.5percent		1
45.9percentbush		1
tax-cut		1
evaluations		1
scoresin		1
rps		1
needthroughout		1
nominationlame		1
hopefuls		1
orrin		1
quayle		1
smithbush		1
centrist		1
mccainbush		1
caucuses		1
primarywhich		1
globemade		1
negativity		1
smear		1
campaignon		1
cheneya		1
defenseto		1
vice-presidential		1
partybush		1
taxationwhen		1
543,895		1
tallying		1
abstained		1
1888in		1
mehlman		1
conservativesthe		1
kerrys		1
decisiveness		1
terrorin		1
50.7percent		1
48.3percent		1
congressbush		1
once-high		1
recessionbush		1
dot-com		1
$1.789		1
$2.983		1
$2.025		1
$2.524		1
14percent		1
107percent		1
62percent		1
131percent		1
51percent		1
130percent		1
65percentthe		1
91,196the		1
$237		1
townhall		1
$1.35trillion		1
programone		1
unspent		1
2.125percent		1
cyclesbush		1
10,587		1
7,949		1
presidencyunemployment		1
4.2percent		1
6.3percent		1
4.5percent		1
$1,175		1
homa		1
after-tax		1
11.3percent		1
12.3percent		1
12.7percent		1
$11.3trillion		1
100percent		1
7.2percentin		1
subprime		1
$170billion		1
$85billionmany		1
reinhardt		1
empower		1
fdic		1
hearingsin		1
jobsbush		1
agendas		1
inflationone		1
low-performing		1
nclbas		1
high-stakes		1
counterproductiveafter		1
$7trillion		1
sixmillion		1
tenmillion		1
socialized		1
$83,000		1
helpfollowing		1
aarp		1
$400billion		1
carebush		1
fica		1
systembush		1
officeupon		1
95–0		1
protocolin		1
issuesin		1
committeelater		1
84million		1
340,000km2		1
conservationists		1
foresight		1
areabush		1
misinformed		1
gas-saving		1
reaffirm		1
ridefederal		1
embryos		1
embryoon		1
nondiscrimination		1
researchnearly		1
guest-worker		1
mexico–united		1
point-based		1
penalizes		1
amnestya		1
cloture		1
46–53		1
authorityhurricane		1
orleansbush		1
efforton		1
enoughas		1
recoverduring		1
candid		1
legalalthough		1
subpoenasin		1
goodling		1
contempt		1
congressin		1
inappropriately		1
prosecutors		1
offensefollowing		1
disloyal		1
cias		1
gandolfo		1
nation-building		1
iraqbush		1
pro-democracy		1
ukrainein		1
india–united		1
agreementthis		1
hectoring		1
tenuremidway		1
oil-rich		1
truer		1
giuliani		1
megaphone		1
soonin		1
fateafter		1
arming		1
preemptive		1
attacksdissent		1
clbre		1
jihadistson		1
kristof		1
aidefforts		1
tora		1
ladens		1
ayman		1
al-zawahiri		1
largedespite		1
regrouping		1
amassing		1
2007beginning		1
destructionin		1
husseins		1
reconstituting		1
contentions		1
presidentin		1
blix		1
elbaradei		1
countriesmore		1
sectarian		1
251,000		1
163,841		1
civiliansin		1
mowaffak		1
al-rubaie		1
nouri		1
al-maliki		1
shiites		1
kurdson		1
21,500		1
second-ever		1
crucialin		1
basra		1
petraeus		1
crocker		1
de-baathification		1
forcesfollowing		1
reauthorized		1
2013bush		1
bybee		1
interrogations		1
baer		1
tortures		1
enoughon		1
hamdan		1
rumsfeld		1
548		1
tortureon		1
2082		1
aclu		1
departmentbush		1
jong-il		1
us–dprk		1
koreaon		1
prospers		1
luxuries		1
programsbush		1
syrias		1
syrians		1
assaad		1
halim		1
hardan		1
wiam		1
wahhab		1
karami		1
hafiz		1
makhluf		1
bashar		1
al-assad		1
nasif		1
khayrbik		1
assadbush		1
sinceon		1
grenade		1
confessed		1
2006bush		1
anti-ballistic		1
abm		1
russiabush		1
yasser		1
arafat		1
sharons		1
disengagement		1
arafats		1
deathbush		1
ep-3e		1
$15billion		1
antiretroviral		1
worldwideon		1
sali		1
berisha		1
ossetias		1
centurybush		1
good-will		1
beijingbush		1
709am		1
729am		1
924am		1
sedative		1
716am		1
921am		1
powersfollowing		1
ill-prepared		1
uninformed		1
stupefying		1
nominationsat		1
judicature		1
scrutinythe		1
filibustered		1
estradabushs		1
upbringing		1
penchant		1
folksy		1
mirrorbush		1
parodied		1
bushismsin		1
riskstony		1
iq		1
actbush		1
89percent		1
affairswithin		1
unscientific		1
73percent		1
18percent		1
feaver		1
leanings		1
iraqbushs		1
ap-ipsos		1
ghraib		1
plame		1
kucinich		1
d-oh		1
d-ca		1
tablepolls		1
second-term		1
trumans		1
thumping		1
mid-thirties		1
gallupby		1
pollsin		1
70-year		1
disapproving		1
approvingalthough		1
66percent		1
performancein		1
67percent		1
9–11		1
34percent		1
24percent		1
newsnew		1
22percent		1
anti-war		1
anti-globalization		1
communityeven		1
stateswere		1
ugandan		1
yoweri		1
museveni		1
zapatero		1
relationshipin		1
zogby		1
ugandaduring		1
shirt-sleeved		1
fush-kruj		1
albanian-majority		1
endearing		1
albanians		1
belgradeon		1
melaani		1
rruga		1
puntort		1
rilendjes		1
bushin		1
2010safter		1
crisisfor		1
didfollowing		1
downhe		1
stent		1
examinationin		1
heinous		1
communitiessince		1
post-presidency		1
motivational		1
undisclosed		1
coveragebush		1
pre-release		1
khalid		1
livesin		1
foreword		1
texasbush		1
nbcs		1
grahamalongside		1
states–africa		1
daylong		1
difficultbush		1
countrieson		1
dcbush		1
hayom		1
obamain		1
primarieswhile		1
poncho		1
memein		1
warriorsin		1
communitiesafter		1
churchills		1
self-portraits		1
centerbill		1
arning		1
high-amateur		1
hed		1
liveliness		1
onpresident		1
counterterrorism		1
invasionas		1
crisisas		1
presidentseveral		1
consequential		1
zelizer		1
bryon		1
fdr		1
seizures		1
siena		1
intelligenceamong		1
pollsters		1
non-college		1
53percent		1
57percent		1
55percent		1
43percent		1
successacademicreflections		1
presidencyprimary		1
sourcesofficialspeeches		1
statementsmedia		1
coverageother		1
seventh-highest		1
grantees		1
1663-1707		1
1707		1
dobbs		1
1791the		1
37xxx		1
1871many		1
franklinmore		1
statevirginias		1
51list		1
assenting		1
inclusionthe		1
398		1
dollarsrandolph		1
2,694km2		1
215km2		1
193,063		1
wirt		1
5,717		1
five-digit		1
three-digit		1
54001		1
pollocksville		1
murfreesboro		1
corollanorth		1
us70		1
island-ocracoke		1
hatteras-ocracoke		1
beachafter		1
ncdotthe		1
merrimon		1
ocracoke-cedar		1
drivenc12		1
nc102		1
nc91		1
us17nc30		1
renumbered		1
whalebone		1
corollahatteras		1
placesnc		1
s-curves		1
stumpy		1
$20.8		1
hydro-qu%c3%a9bec		1
quebecit		1
36,912		1
requirementshydro-qubec		1
cad$2.36		1
americamore		1
fashioned		1
montreal-based		1
gagnonvalkus		1
1960in		1
beauharnois		1
companiesquebec		1
adlard		1
godbout		1
nationalisations		1
areamajor		1
includedbetween		1
616		1
3,661		1
areaduplessis		1
noirceur		1
lesage		1
saint-jean-baptiste-de-rouville		1
includedbecause		1
areaphase		1
denis-perron		1
tranditional		1
noverco		1
mtro		1
eastmain		1
eastmain-1		1
grande-1		1
robert-bourassa		1
grande-2-a		1
mwother		1
nine-hour		1
quebec-wide		1
blackoutin		1
weekslike		1
888		1
unitsthis		1
bouchard		1
deregulate		1
sectorlegislation		1
servicesincluding		1
mwat		1
2.79		1
1277-2001		1
8,760		1
11,420		1
mwhydro-qubec		1
needsapproximately		1
cost-of-service		1
distribution-related		1
c$10		1
daudiences		1
publiques		1
lenvironnementhydro-qubec		1
23,659		1
quebecfor		1
c$2.611		1
c$12.392		1
c$7.284		1
c$159		1
c$69.637		1
c$56.901		1
c$42.05		1
31.0%		1
poorsin		1
c$1.958		1
c$10.358		1
$8b		1
43,741,090		1
marcel		1
garciaboth		1
institutehave		1
debtwithout		1
lger		1
favorcommenting		1
lepages		1
pq		1
parizeau		1
salelike		1
yvan		1
allaire		1
hautes		1
tudes		1
commerciales		1
resorting		1
saguenays		1
quotidien		1
ridiculously		1
complicity		1
vulturesleft-wing		1
uqams		1
lo-paul		1
lauzon		1
short-selling		1
divesting		1
gainhydro-qubec		1
plantsincluding		1
betsiamites		1
outardes		1
companynon-hydro		1
675-mw		1
candu-design		1
660-mw		1
oil-fired		1
peaker		1
36,971		1
2.11		1
5,428-mw		1
expiring		1
2041		1
abitibibowater		1
c$616		1
96.78%		1
0.19%		1
emissionshydro-qubecs		1
npcc		1
nalcor		1
feein		1
contrle		1
mouvements		1
statestransnergies		1
33,630km		1
20,900mi		1
11,422km		1
7,097mi		1
substations		1
10,850		1
mw[note		1
7,994		1
mwthe		1
jurisdictionsthis		1
1250-mw		1
outaouais		1
lange-gardien		1
kv		1
2010one		1
radisson		1
sainte-eulalie		1
c$1.3		1
c$460		1
1200-mw		1
cantons		1
nstar		1
alonehydro-qubec		1
112,089		1
69,649mi		1
coaticook		1
joliette		1
magog		1
sherbrooke		1
westmountand		1
saint-jean-baptiste		1
rouvillehydro-qubec		1
165-twh		1
2.79kwh		1
customersthe		1
507		1
47.5		1
2002hydro-qubec		1
nunavikhydro-qubec		1
dhydro-qubec		1
boulet		1
varennes		1
thermomechanics		1
calibrationresearch		1
automate		1
linesanother		1
laboratoire		1
lte		1
efficiencyin		1
nano-titanate		1
timehydro-qubec		1
prototyped		1
tm4		1
dassault		1
heuliez		1
cleanova		1
tata		1
indica		1
norwaythe		1
quipement		1
romaine		1
charest		1
2009-2013		1
jean-lesage		1
ren-lvesque		1
sm-3		1
petit-mcatina		1
magpie		1
tabaret		1
abitibi-tmiscamingue		1
quebechydro-qubec		1
leveraged		1
companyduring		1
transelec		1
transmantaro		1
hidroelectrica		1
murraylink		1
panamait		1
senelec		1
senegals		1
elyo		1
lyonnaise		1
eaux		1
abdoulaye		1
wadealso		1
meiya		1
c$83		1
hydros		1
damshydro-qubec		1
generationsthe		1
erosionin		1
facilitiessince		1
champigny		1
jacques-cartier		1
practicesto		1
spotsdespite		1
nonmigratory		1
reduced-flow		1
caribou		1
expandedemissions		1
overallanother		1
innu		1
agreementsome		1
playersafter		1
surot		1
14001-certified		1
4,060,195		1
systemsabout		1
marginrates		1
cross-subsidization		1
customershydro-qubec		1
rollbacks		1
16,857		1
sectorthis		1
4.65		1
eq		1
2006residential		1
winter-peaking		1
40.64		1
all-included		1
qst		1
5.32kwh		1
7.51kwh		1
2008electric		1
bimonthly		1
equalized		1
phase-in		1
connect-disconnect		1
reductionfor		1
strategylarge		1
4.66kwh		1
3.07kwhin		1
rateson		1
renews		1
peribonka		1
montrealon		1
expires		1
alcoas		1
smelters		1
deschambault-grondines		1
548,000		1
tonnesseveral		1
lavals		1
jean-thomas		1
grard		1
blanger		1
smelter		1
c$255,357		1
c$729,653		1
marketthis		1
luc		1
boulanger		1
higherhydro-qubec		1
$1,513		1
23.3		1
$1,034		1
twhalthough		1
328-mw		1
h.781		1
replenish		1
obamaa		1
carsas		1
2009hydro-qubec		1
octobernovember		1
2012from		1
statesnumerous		1
closedin		1
idalight		1
honduraslate		1
155kmhlate		1
975mbar		1
28.79inhg		1
hoursby		1
november6throughout		1
yellowon		1
evacueesas		1
november10due		1
$78		1
carmadelle		1
evacueesthroughout		1
9.1in		1
hilla		1
perlas		1
idadamage		1
1,899		1
1,184		1
damagedshortly		1
an-2		1
$49,000		1
ocha		1
kronor		1
$55,946usd		1
$27,226usd		1
itemsin		1
diques		1
cartago		1
veraguas		1
lazo		1
cuyaguateje		1
1.8mahead		1
5.41in		1
$265,000in		1
9.83in		1
opelika		1
three-block		1
4.38ft		1
1.34m		1
elmers		1
99kmh		1
1.16in		1
closuresminor		1
4.13in		1
1.07m		1
7.32in		1
186mm		1
lithonia		1
4.11in		1
contealong		1
$38.8million		1
$8.2million		1
damagepre-season		1
status[nb		1
seasonseveral		1
cycloneforecasts		1
forecastersklotzbachs		1
9.6tropical		1
5.9hurricanes		1
2.3major		1
indexon		1
april7		1
12named		1
6hurricanes		1
2of		1
may21		1
higheron		1
5hurricanes		1
ocean-atmospheric		1
range3		1
70%chance		1
range40		1
4hurricanes		1
7–11		1
$77million		1
effectsoverall		1
totalduring		1
tail-end		1
may29		1
basinana		1
1,075mi		1
1,735km		1
1003mbar		1
29.65inhg		1
landmassesnumerous		1
40residents		1
2.76in		1
poweras		1
august24two		1
swellsone		1
north-facing		1
$35.5million		1
lossesjust		1
august18the		1
storm-surge-prone		1
$103,000		1
claudettearound		1
bankson		1
rainseveral		1
35w		1
bermudain		1
pressureoriginating		1
northeastern-most		1
29.11inhg		1
walesalthough		1
1,247km		1
stormaffected		1
noridain		1
ascertaining		1
larger-than-average		1
characteristicswhen		1
pulsation		1
annularalthough		1
108kn		1
124mph		1
taper		1
18.9kn		1
35.0km		1
21.7mphan		1
operationaltropical		1
theta-e		1
83.5%of		1
25.4c–28.5c		1
77.7f–83.3f		1
$3.2		1
27kmh		1
depressionby		1
re-issuance		1
strengthfollowing		1
strengthenedgradual		1
120mih		1
27.94inhg		1
canadian-united		1
franearly		1
5before		1
$2.4billion		1
$3.2billion		1
itprior		1
incidentas		1
$19.8million		1
car-related		1
$48.5million		1
damagefran		1
berthas		1
rampage		1
coastlineinland		1
againrain		1
deluged		1
1996at		1
lassiter		1
citytotal		1
billionthis		1
priorin		1
415,000		1
1954rain		1
rescuedpage		1
endzone		1
flood-driven		1
adelphia		1
bedthe		1
26.95ft		1
8.21m		1
22ft		1
subsidedup		1
leakwestern		1
5.1ft		1
damageabout		1
6.47in		1
164mm		1
elyria		1
lorain		1
lifecontinuing		1
4.07in		1
103mm		1
5.53in		1
t-ball		1
65mmthe		1
27-year		1
highbecause		1
1900hurricane		1
1265		1
2035km		1
morningafter		1
weakerhugo		1
944		1
140-mph		1
27.6inhgthe		1
25late		1
stormhugo		1
ussources		1
deathssevere		1
transmitterat		1
eightft		1
moule		1
$880		1
usdhugos		1
27.79		1
296kmhhugo		1
89were		1
chiroderma		1
improvisum		1
punish		1
barreling		1
20–23ft		1
6.1–7.0m		1
krum		1
7063		1
7064		1
7065		1
restitution		1
1997damage		1
18,000multi–family		1
205structures		1
1,149were		1
2,638suffered		1
$1billionimpact		1
0.43m		1
savannahhilton		1
hinesville		1
occurredbecause		1
174kmh		1
sampit		1
227,800residences		1
bamberg		1
23,000km2		1
660,000homesstorm		1
seewee		1
sawyer		1
$270millionrainfall		1
10.28in		1
261mm		1
18,000multi-family		1
self–injury		1
clean–up		1
causenorth		1
conoverdamages		1
$1.93billion		1
precariously		1
85,000homes		1
30,000customers		1
outagesafter		1
1.85in		1
47mm		1
0.43in		1
11mm		1
3.73in		1
13,400		1
verdun		1
brossard		1
chambly		1
valleyfield		1
valleysimilar		1
brunswicks		1
69kmhextensive		1
churcheson		1
marshals		1
ndms		1
mexico-1		1
dmat		1
islandnational		1
400-meter		1
olympic-size		1
wgal		1
recoverafter		1
separations		1
bureaucratic		1
jackasses		1
katrinadue		1
hurricanethereafter		1
12hoursthroughout		1
$830million		1
$16.6		1
distanced		1
dayirene		1
seasonwith		1
thereafterearly		1
535am		1
0935		1
yorkfollowing		1
hampshirevermont		1
air-		1
bahamaswith		1
doubleheaders		1
barksdale		1
unc-wilmington		1
move-in		1
wilmingtonvirginia		1
personnelon		1
may–		1
27in		1
prudent		1
1030pm		1
25percent		1
22,000m3din		1
guardsman		1
deep-water-capable		1
fmtvs		1
underpass		1
onlookers		1
evacuategovernor		1
tasking		1
opensouthern		1
runningin		1
providencein		1
76–178mm		1
30–45		1
48–72kmh		1
45–65		1
72–105kmh		1
mainenear		1
stormfollowing		1
22passing		1
bransons		1
occupantsincluding		1
winsletwere		1
2120		1
leaksacross		1
gurabo		1
22.04in		1
560mm		1
pinned		1
$60.4		1
usdoffshore		1
46locals		1
operationsskirting		1
37,700		1
cambita		1
garabitos		1
altagracia		1
higey		1
2,292		1
rd$1		1
us$30		1
injuriesas		1
tnamo		1
2.36in		1
5.1mm		1
286km		1
floodingturks		1
impactbahamas		1
159kmh		1
disastergales		1
7.4		1
hydrographs		1
hundred-year		1
deathsthough		1
outernmost		1
2.67		1
68mm		1
melbourneowing		1
rescuedtropical-storm-force		1
6–9ft		1
1.8–2.7m		1
10–14		1
250–360mm		1
bunyan		1
360mmthe		1
$71		1
662-foot-long		1
consideredthe		1
mirlo		1
businessesradar		1
carolinairene		1
irenehurricane		1
dcdorchester		1
85-year-old		1
hand-pick		1
destroyedtwo		1
25-year-old		1
638pm		1
10.43		1
ellendale		1
roadfive		1
wissahickon		1
mid-weekwhile		1
11.27		1
$1billionin		1
jcpl		1
pseg		1
outageflooding		1
$38		1
claimsdespite		1
miscalculation		1
predictedin		1
meatpacking		1
suffern		1
raw-sewage		1
washingtonville		1
moodna		1
wrecking		1
156-year-old		1
blenheim		1
gilboa		1
59,000ha		1
smaller-than-average		1
fundraisers		1
visitorsstorm		1
centerport		1
tidedamage		1
windsorin		1
meriden		1
treesgovernor		1
capsizeda		1
6-mile		1
charlemont		1
monthsa		1
southbridgea		1
becket		1
precautionsailboats		1
massachusettstwo		1
massachusettsrhode		1
256,000		1
480,281		1
windalmost		1
air-lifts		1
eastwest		1
killington		1
pittsfield		1
millionrelief		1
nocturnals		1
sue		1
minter		1
$175–200		1
reliefflood		1
vermontflood		1
scouring		1
sidedamage		1
riverdamage		1
taftsville		1
bridgedamage		1
royalton		1
bridgetropical		1
carrabassett		1
valleyirene		1
yamaska		1
sorel-tracy		1
millionbecause		1
keysirma		1
16the		1
185kmhon		1
islandsshortly		1
929hpa		1
1935utc		1
georgia-alabama		1
daydata		1
metgiven		1
5on		1
distributionin		1
mobilizedin		1
cliff-edge		1
collectivity		1
barthlemythough		1
whatsappon		1
resortsin		1
assistin		1
1,609		1
hurricane-ready		1
jardines		1
100members		1
7,000troops		1
44of		1
hardee		1
evacuationat		1
0051utc		1
coastfor		1
900pm		1
utilitiesby		1
hours-long		1
interstate75		1
150miles250km		1
labor-		1
resource-intensive		1
trafficofficials		1
sitesgeorgia		1
540,000		1
warningall		1
800-acre		1
tollsnorth		1
statesofficials		1
superspeedway		1
haslam		1
dolphins–tampa		1
11–13		1
co-champions		1
3–3		1
knights-memphis		1
usf		1
bulls-connecticut		1
hurricanes–arkansas		1
redwolves		1
gators-northern		1
louisiana–monroe		1
warhawks		1
fiu		1
$15.3billion		1
harveyhurricane		1
occurrencesthe		1
inoperativeincluding		1
serviceswhich		1
near-threatened		1
frigatebirds		1
surgeremaining		1
germany-based		1
$120millionon		1
$4.07billion		1
usd
a		1
causesirma		1
erased		1
gustavia		1
6.4ft		1
$480million		1
analystspreliminary		1
$1.44billion		1
$190million		1
hurricanelarge		1
rattling		1
seassaint		1
$20–65million		1
islandsdamage		1
bransonmost		1
jost		1
bvis		1
jaspert		1
countryirmas		1
amalies		1
powerwaves		1
179km		1
orocovis		1
capitanejo		1
padilla		1
dajabn		1
brokenin		1
2,721		1
730pm		1
2330		1
goldray		1
lostin		1
meteorologydamages		1
biminilate		1
260kmhthe		1
warehousesby		1
caibarin		1
malecn		1
birdspreliminary		1
mainland]		1
thoughtat		1
georgiathroughout		1
davie		1
sweltering		1
conditioningafter		1
910am		1
ramrod		1
keya		1
335pm		1
tampaaway		1
apparel		1
doraat		1
1,572,000		1
641pm		1
noroviruses		1
riskthree		1
incidentslight		1
territoriessome		1
30-day		1
visas		1
120,000lbs		1
victimsincluding		1
generatorsrfa		1
kemble		1
ruman		1
c130j		1
inadequateby		1
anguillans		1
enoughby		1
15amendments		1
2017by		1
destinationsthe		1
sparsely-settled		1
systemaside		1
usswollen		1
danilo		1
422,000		1
trash-		1
waste-contaminated		1
lafontant		1
coordinationby		1
viequesby		1
airlifts		1
ricodamage		1
casaiptn		1
cn-235the		1
dialysis		1
leaflets		1
membersfrench		1
barthlemyon		1
martiniqueon		1
roadblock		1
recoveryon		1
checkpoint		1
4.4million		1
41-60%		1
ftmyers		1
map-format		1
myersfollowing		1
hand-carved		1
keepingdue		1
septemberin		1
harborat		1
mapp		1
irmaon		1
active-theater		1
miamiwhen		1
57.7w		1
0015utc		1
66.6units		1
valueson		1
1924irma		1
hurricanesharvey		1
irmastruck		1
charlestoncheniere		1
caminada		1
ivanjeanne		1
413known		1
$11billion		1
1,000total		1
17.5percent		1
protrudes		1
139km		1
139tropical		1
775direct		1
statehistorical		1
inscriptionbetween		1
75tropical		1
53total		1
$328million		1
landslidesa		1
79tropical		1
37total		1
120tropical		1
2010usd		1
77direct		1
44indirect		1
35fatalities		1
record–breaking		1
20fatalities		1
dissipations		1
$450		1
$3.6		1
110-mph		1
1,545houses		1
9,720were		1
1,000injuries		1
72fatalities		1
$462million		1
1954usd[nb		1
basina		1
545km		1
georgiaan		1
deep-wave		1
180miles		1
75–125mph		1
120–200kmh		1
quebecbefore		1
pennsylvaniain		1
$250,000on		1
$22.25million		1
11,785families		1
9,720houses		1
1,545that		1
floodingthroughout		1
$461million		1
1,000injured		1
488fatalities		1
100destroyed		1
$50millionthe		1
14.4feet		1
620houses		1
83other		1
blacking		1
islandbefore		1
reveres		1
3,350homes		1
800were		1
213buildings		1
$175millioncarol		1
livermore		1
2.15inches		1
63mm		1
staterainfall		1
4.27inches		1
1954cad		1
$980,000		1
usd[nb		1
citygovernor		1
20deaths		1
stormfurydue		1
atlanticedna		1
rainfall-induced		1
scaleinitially		1
jogs		1
informationmidday		1
ednas		1
968mbar		1
enveloped		1
361,392calls		1
40red		1
devens		1
40trucks		1
carolon		1
flood-inducing		1
seasednas		1
4.98in		1
deathswhen		1
stagedamage		1
7.49in		1
58years		1
rescuer		1
floodsthere		1
$42,815,000		1
massachusettswhile		1
emergencyin		1
mcadam		1
montrealin		1
100workers		1
50trucks		1
turnoutafter		1
stateahead		1
$86million		1
ontarioa		1
scalefor		1
hurricanelate		1
pennsylvanianew		1
michiganon		1
inlandahead		1
41officials		1
79red		1
800scouts		1
jerseyas		1
7.50in		1
60poorly-built		1
ricoas		1
swansboro		1
40buildings		1
carolinahurricane-force		1
8.79in		1
64years		1
unseaworthy		1
23passengers		1
wreckagein		1
lankford		1
301		1
inconsequential		1
20-hour		1
$86,065,000		1
marylandfurther		1
2.56in		1
27boats		1
cropflooding		1
183tons		1
probationdue		1
august23the		1
101people		1
1955usd[nb		1
yorkdamage		1
30stream		1
184people		1
$754.7million		1
retiredhurricane		1
teacup		1
986		1
areadiane		1
icelandlate		1
700residents		1
dormitory		1
inlandall		1
goofed		1
downplaying		1
riverhurricane		1
287stream		1
129reported		1
$79million		1
$82million		1
$754,706,000		1
1955usd		1
184deaths		1
oakway		1
2.39in		1
61mmafter		1
11.72in		1
298mm		1
5.71in		1
3.27in		1
83mm		1
30.4ft		1
11.11in		1
282mm		1
pecks		1
8.10in		1
9.05in		1
mohonkin		1
21gauges		1
stateflooding		1
23.4ft		1
7.1m		1
21.7ft		1
honesdale		1
wallenpaupack		1
17bridges		1
55mi		1
75deaths		1
greentown		1
lackawaxen		1
101deaths		1
$70millionin		1
two–thirds		1
500children		1
frenchtown		1
portland–columbia		1
phillipsburg		1
branchville		1
93homes		1
$27.5millionflash		1
wappinger		1
rondout		1
ellenville		1
poughkeepsie		1
bish		1
$16.2million		1
statediane		1
12.05in		1
306mm		1
23hour		1
0.75in		1
19mm		1
19.75in		1
8.45in		1
215mm		1
3.31in		1
0.62in		1
connecticutdamage		1
30gauges		1
ansonia		1
13houses		1
quinebaug		1
563houses		1
77deaths		1
deathsmuch		1
24stream		1
neponset		1
weymouth		1
buffumville		1
8,340fts		1
236ms		1
6.2times		1
28.5times		1
run-of-the-river		1
inoculations		1
futurepresident		1
18temporary		1
10,000families		1
1,600loans		1
29dams		1
tocks		1
600families		1
235people		1
15industrial		1
cartons		1
1penny		1
$71million		1
meyner		1
disasterafter		1
91people		1
1,100families		1
67towns		1
20,000families		1
86,000people		1
rebuiltmassachusetts		1
herter		1
deflator		1
$7.4billion		1
$18billion		1
livesa		1
bahamasdrier		1
11months		1
atlantichurricane		1
riegel		1
marciano		1
$1.34million		1
figuresseptember		1
gloomy		1
930pm		1
1050pm		1
845am		1
hmtsmonarch		1
26ione		1
crossione		1
carbonear		1
foxtrap		1
stag		1
baydue		1
year[nb		1
september30in		1
$7.8million		1
189deaths		1
barbados[nb		1
326people		1
statesjanets		1
565km		1
intensificationshortly		1
979mbar		1
28.91inhg		1
indiscernible		1
daywhile		1
trekking		1
september25–26		1
27.70inhg		1
incalculable		1
scaleat		1
27.00inhg		1
hurricanesonce		1
october1upon		1
paraguan		1
1955atlantic		1
1942as		1
57years		1
110–120mph		1
180–190kmh		1
8,100homes		1
seawell		1
57people		1
122people		1
nutmeg		1
carenage		1
$2.8million		1
september24–25		1
piscadera		1
vaersen		1
quays		1
p2v-3w		1
3,000personnel		1
typhoonsas		1
passedafter		1
28.00inhg		1
97people		1
1600ft		1
490m		1
120bodies		1
janetmaking		1
15,500at		1
30%of		1
$2.631million		1
20%decrease		1
cropin		1
90%of		1
damageswhile		1
celestino		1
3–4ft		1
0.91–1.2m		1
christijanet		1
hildafarther		1
tamisi		1
tamazunchale		1
colonia		1
maltarana		1
lerma		1
duero		1
1955national		1
janetafter		1
1955housing		1
struckin		1
hoarding		1
us$155,000		1
grenadines[nb		1
generatorsrelief		1
48villages		1
us$55,000		1
hc		1
fairweather		1
townshipa		1
joint-relief		1
c-46		1
harlingen		1
314		1
siboney		1
280,000lb		1
130,000kg		1
ailment		1
over-exertion		1
effortsdue		1
june1957		1
400lives		1
27.91inhg		1
june28		1
june29prior		1
$16million[nb		1
audreys		1
10.63in		1
basile		1
$128millionafter		1
23tornadoes		1
$600,000in		1
10.20in		1
259.08mm		1
416people		1
fifth-costliest		1
hurricanebetween		1
40to		1
65to		1
29.78inhg		1
610km		1
tillamook		1
0910and		1
1025utc		1
28.62inhg		1
ashoreafter		1
995mb		1
29.39inhg		1
974mb		1
28.76inhg		1
quebecshortly		1
floridanews		1
3,400residents		1
600residents		1
dutythe		1
416fatalities		1
intently		1
daybreak		1
unbeknownst		1
diseminated		1
waking		1
moccasins		1
lewin		1
weathercaster		1
kplc		1
us$16million		1
1957dollarsalthough		1
28.52inhg		1
0.75mi		1
1.2km		1
7.35in		1
187mm		1
twopeople		1
10.20		1
259mm		1
17.65		1
61.59		1
